timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-08-01 00:00:00,23296.36,23317.72,23262.27,23277.42,651.57251,1659312299999,15170862.7850337,23324,318.62412,7419120.4991448,0
2022-08-01 00:05:00,23274.75,23285.84,23257.37,23277.32,474.05582,1659312599999,11031640.4062484,16272,264.80491,6162329.3696838,0
2022-08-01 00:10:00,23277.32,23314.99,23272.23,23281.41,406.89184,1659312899999,9477077.0488375,15735,204.50332,4763355.0482101,0
2022-08-01 00:15:00,23279.8,23339.05,23265.11,23290.96,673.13135,1659313199999,15682847.9485407,21411,362.78386,8453136.6605718,0
2022-08-01 00:20:00,23290.96,23325.0,23276.19,23318.44,260.18358,1659313499999,6061557.0756443,12222,138.73493,3232255.2805453,0
2022-08-01 00:25:00,23317.2,23372.06,23312.02,23352.86,532.64945,1659313799999,12430596.4354278,16328,281.75634,6576506.0157762,0
2022-08-01 00:30:00,23352.86,23391.21,23321.06,23337.95,403.95046,1659314099999,9437393.2896342,15591,188.51679,4404498.6639513,0
2022-08-01 00:35:00,23337.95,23369.43,23321.22,23357.78,252.75903,1659314399999,5901286.7693349,11525,135.94943,3174285.759011,0
2022-08-01 00:40:00,23359.98,23379.99,23344.63,23356.98,334.66138,1659314699999,7818542.3327158,12145,181.86967,4248959.315165,0
2022-08-01 00:45:00,23356.98,23394.97,23341.72,23373.38,529.50401,1659314999999,12375853.914081,15741,288.10063,6734160.6798529,0
2022-08-01 00:50:00,23373.51,23391.5,23366.4,23383.58,311.14844,1659315299999,7274054.1758415,12371,160.79904,3759219.0524522,0
2022-08-01 00:55:00,23383.58,23389.12,23361.22,23374.96,280.08408,1659315599999,6547260.6115163,11761,126.0953,2947750.0757665,0
2022-08-01 01:00:00,23376.65,23377.6,23335.92,23345.37,287.6341,1659315899999,6717655.189595,12697,139.84261,3266103.4861257,0
2022-08-01 01:05:00,23346.93,23375.45,23323.52,23363.46,346.86572,1659316199999,8099150.6286193,12922,156.76484,3660856.8174334,0
2022-08-01 01:10:00,23363.46,23388.04,23352.8,23378.47,278.64902,1659316499999,6512856.9665872,11949,145.01419,3389582.2404277,0
2022-08-01 01:15:00,23378.47,23416.27,23356.35,23408.54,450.6905,1659316799999,10539137.5595923,16325,247.81525,5795516.7712712,0
2022-08-01 01:20:00,23408.54,23424.25,23383.53,23400.8,317.3345,1659317099999,7424355.2240653,12482,166.06607,3885528.7815466,0
2022-08-01 01:25:00,23400.77,23443.38,23398.87,23427.37,405.0531,1659317399999,9487173.1907563,15772,210.18938,4923278.7929168,0
2022-08-01 01:30:00,23428.96,23437.44,23400.01,23409.48,320.88666,1659317699999,7515153.2263392,14346,161.39688,3780049.873894,0
2022-08-01 01:35:00,23409.48,23435.7,23403.21,23431.39,259.91398,1659317999999,6087105.3003124,11659,137.03691,3209404.4702472,0
2022-08-01 01:40:00,23431.39,23436.06,23383.84,23424.96,424.17882,1659318299999,9930672.0943163,14262,190.19216,4453014.078426,0
2022-08-01 01:45:00,23424.96,23433.62,23390.02,23404.31,271.35096,1659318599999,6353247.533276,12385,132.17484,3094805.1818978,0
2022-08-01 01:50:00,23404.31,23410.08,23385.34,23394.88,229.70649,1659318899999,5374338.9786257,10975,113.731,2660984.5604151,0
2022-08-01 01:55:00,23396.62,23423.89,23387.41,23418.8,243.44596,1659319199999,5698288.0651575,10479,129.73579,3036775.994446,0
2022-08-01 02:00:00,23418.8,23466.55,23407.46,23452.31,419.36109,1659319499999,9831312.7563335,15894,217.34814,5095505.8003366,0
2022-08-01 02:05:00,23452.31,23459.53,23420.28,23427.44,450.82102,1659319799999,10567493.8709887,14623,190.69593,4470164.4456208,0
2022-08-01 02:10:00,23427.44,23443.09,23411.0,23431.72,232.47559,1659320099999,5446158.9383721,11591,117.33756,2748963.0087726,0
2022-08-01 02:15:00,23430.92,23440.92,23413.69,23417.46,234.87517,1659320399999,5502146.4260655,10921,108.45087,2540621.7776718,0
2022-08-01 02:20:00,23417.46,23424.0,23407.05,23413.45,199.26011,1659320699999,4665693.4718864,9378,97.78502,2289695.3871221,0
2022-08-01 02:25:00,23412.31,23441.0,23410.96,23427.22,329.38447,1659320999999,7715113.5055702,11706,190.48594,4461925.4941866,0
2022-08-01 02:30:00,23427.22,23438.64,23412.78,23427.58,227.79386,1659321299999,5336269.627952,10773,109.90104,2574601.2314222,0
2022-08-01 02:35:00,23426.5,23431.0,23400.04,23404.46,417.62472,1659321599999,9778377.8950046,15340,206.18153,4827649.0497821,0
2022-08-01 02:40:00,23405.9,23415.0,23384.0,23398.29,285.85304,1659321899999,6688160.7204721,11627,134.9643,3157890.2914213,0
